Name,Age,#days,Lev,Date,Tm, ,Opp,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Jos\xc3\xa9 Abreu,34,1043,Maj-AL,"Apr 1, 2021",Chicago,@,Los Angeles,1,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25,0.25,0.25,0.5,547989
Ronald Acuna Jr.,23,1043,Maj-NL,"Apr 1, 2021",Atlanta,@,Philadelphia,1,5,4,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0.5,0.6,0.75,1.35,660670
Willy Adames,25,1043,Maj-AL,"Apr 1, 2021",Tampa Bay,@,Miami,1,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25,0.25,0.25,0.5,642715
Ehire Adrianza,31,1043,Maj-NL,"Apr 1, 2021",Atlanta,@,Philadelphia,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,501303
Jes\xc3\xbas Aguilar,31,1043,Maj-NL,"Apr 1, 2021",Miami,,Tampa Bay,1,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,542583
Hanser Alberto,28,1043,Maj-AL,"Apr 1, 2021",Kansas City,,Texas,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,593643
Ozzie Albies,24,1043,Maj-NL,"Apr 1, 2021",Atlanta,@,Philadelphia,1,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,645277
Sandy Alc\xc3\xa1ntara,25,1043,Maj-NL,"Apr 1, 2021",Miami,,Tampa Bay,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,645261
Jorge Alfaro,28,1043,Maj-NL,"Apr 1, 2021",Miami,,Tampa Bay,1,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.333,0.333,0.333,0.667,595751
Anthony Alford,26,1043,Maj-NL,"Apr 1, 2021",Pittsburgh,@,Chicago,1,5,3,1,0,0,0,0,0,2,0,3,0,0,0,0,1,1,0.0,0.4,0.0,0.4,546990
Jos\xc3\xa9 Altuve,31,1043,Maj-AL,"Apr 1, 2021",Houston,@,Oakland,1,5,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0.4,0.25,0.65,514888
Yordan \xc3\x81lvarez,24,1043,Maj-AL,"Apr 1, 2021",Houston,@,Oakland,1,5,3,0,1,1,0,0,3,0,0,0,1,0,1,0,0,0,0.333,0.4,0.667,1.067,670541
Brian Anderson,28,1043,Maj-NL,"Apr 1, 2021",Miami,,Tampa Bay,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,605119
Tim Anderson,28,1043,Maj-AL,"Apr 1, 2021",Chicago,@,Los Angeles,1,4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25,0.25,0.25,0.5,641313
Elvis Andrus,32,1043,Maj-AL,"Apr 1, 2021",Oakland,,Houston,1,3,3,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0.333,0.333,0.667,1.0,462101
