Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,22,224,Maj-NL,Washington,68,251,236,27,55,14,2,7,33,9,0,57,5,1,0,5,7,2,0.233,0.276,0.398,0.674,682928
Jos\xc3\xa9 Abreu,36,227,Maj-AL,Houston,72,301,276,21,62,11,0,4,33,19,1,74,3,0,3,8,0,1,0.225,0.279,0.308,0.587,547989
Ronald Acuna Jr.,25,224,Maj-NL,Atlanta,75,345,304,66,100,21,1,16,47,37,2,45,2,0,2,7,32,6,0.329,0.403,0.563,0.965,660670
Willy Adames,27,224,Maj-NL,Milwaukee,65,274,241,34,52,8,0,12,34,27,0,72,1,0,3,6,4,2,0.216,0.294,0.398,0.692,642715
Riley Adams,27,225,Maj-NL,Washington,16,63,56,4,17,3,2,3,9,6,0,22,0,1,0,2,0,0,0.304,0.371,0.589,0.96,656180
Jo Adell,24,239,Maj-AL,Los Angeles,1,4,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0.333,0.5,1.333,1.833,666176
Ehire Adrianza,33,277,Maj-NL,Atlanta,5,11,10,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.0,0.091,0.0,0.091,501303
Jes\xc3\xbas Aguilar,33,251,Maj-AL,Oakland,36,115,104,8,23,2,0,5,9,8,2,31,1,0,1,3,0,0,0.221,0.281,0.385,0.665,542583
Nick Ahmed,33,225,Maj-NL,Arizona,40,121,114,10,26,6,0,2,12,7,0,28,0,0,0,0,4,0,0.228,0.273,0.333,0.606,605113
Hanser Alberto,30,247,Maj-AL,Chicago,30,90,82,11,18,5,0,3,16,4,0,13,1,2,1,1,0,0,0.22,0.261,0.39,0.652,593643
Ozzie Albies,26,224,Maj-NL,Atlanta,75,316,289,37,77,14,1,17,53,21,2,47,3,0,3,5,4,0,0.266,0.32,0.498,0.818,645277
Jorge Alfaro,30,226,Maj-NL,Colorado,6,24,23,1,3,2,0,1,4,0,0,10,1,0,0,1,0,0,0.13,0.167,0.348,0.515,595751
Greg Allen,30,245,Maj-AL,New York,10,17,14,5,3,0,1,1,1,1,0,7,1,1,0,0,1,0,0.214,0.313,0.571,0.884,656185
