Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,22,267,Maj-NL,Washington,8,24,23,3,7,1,0,0,2,0,0,5,1,0,0,0,1,1,0.304,0.333,0.348,0.681,682928
Jos\xc3\xa9 Abreu,36,267,Maj-AL,Houston,6,23,21,1,3,0,0,0,2,2,0,2,0,0,0,1,0,0,0.143,0.217,0.143,0.36,547989
Ronald Acuna Jr.,25,267,Maj-NL,Atlanta,6,26,20,7,7,2,0,2,6,4,1,4,1,0,1,1,2,0,0.35,0.462,0.75,1.212,660670
Willy Adames,27,267,Maj-NL,Milwaukee,6,25,23,2,3,0,0,0,2,2,0,7,0,0,0,1,0,0,0.13,0.2,0.13,0.33,642715
Riley Adams,27,268,Maj-NL,Washington,2,7,7,0,2,1,0,0,2,0,0,4,0,0,0,0,0,0,0.286,0.286,0.429,0.714,656180
Ehire Adrianza,33,271,Maj-NL,Atlanta,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,501303
Jes\xc3\xbas Aguilar,33,267,Maj-AL,Oakland,4,10,9,1,3,0,0,1,2,1,1,3,0,0,0,0,0,0,0.333,0.4,0.667,1.067,542583
Nick Ahmed,33,269,Maj-NL,Arizona,3,8,7,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.125,0.0,0.125,605113
Hanser Alberto,30,267,Maj-AL,Chicago,4,12,11,2,1,1,0,0,0,0,0,3,0,1,0,0,0,0,0.091,0.091,0.182,0.273,593643
Ozzie Albies,26,267,Maj-NL,Atlanta,6,27,26,3,12,5,0,2,3,1,0,2,0,0,0,1,0,0,0.462,0.482,0.885,1.366,645277
Nick Allen,24,267,Maj-AL,Oakland,4,15,12,2,2,1,0,0,1,1,0,4,0,2,0,0,0,0,0.167,0.231,0.25,0.481,669397
Pete Alonso,28,267,Maj-NL,New York,6,23,21,3,3,1,0,1,3,1,0,7,1,0,0,0,0,0,0.143,0.217,0.333,0.551,624413
Francisco \xc3\x81lvarez,21,268,Maj-NL,New York,4,9,9,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0.222,0.222,0.333,0.556,682626
Yordan \xc3\x81lvarez,26,267,Maj-AL,Houston,6,24,20,2,6,2,0,1,3,3,0,5,1,0,0,0,0,0,0.3,0.417,0.55,0.967,670541
Miguel Amaya,24,267,Maj-NL,Chicago,2,6,4,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0.0,0.167,0.0,0.167,665804
Brian Anderson,30,267,Maj-NL,Milwaukee,5,20,18,1,4,1,1,0,0,1,0,7,1,0,0,0,0,1,0.222,0.3,0.389,0.689,605119
Tim Anderson,30,267,Maj-AL,Chicago,4,17,15,1,3,0,0,0,1,2,0,5,0,0,0,1,0,0,0.2,0.294,0.2,0.494,641313
Elvis Andrus,34,267,Maj-AL,Chicago,6,25,20,3,6,1,0,1,7,4,0,4,0,1,0,0,1,0,0.3,0.417,0.5,0.917,462101
Miguel And\xc3\xbajar,28,267,Maj-NL,Pittsburgh,6,18,16,2,4,0,0,2,6,2,0,3,0,0,0,0,0,0,0.25,0.333,0.625,0.958,609280
Nolan Arenado,32,267,Maj-NL,St. Louis,6,26,23,2,5,1,0,0,1,3,0,6,0,0,0,1,0,0,0.217,0.308,0.261,0.569,571448
Gabriel Arias,23,270,Maj-AL,Cleveland,4,3,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333,0.333,0.333,0.667,672356
Randy Arozarena,28,267,Maj-AL,Tampa Bay,5,22,19,5,6,1,0,4,6,1,0,6,2,0,0,2,0,1,0.316,0.409,1.0,1.409,668227
Luis Arr\xc3\xa1ez,26,267,Maj-NL,Miami,6,23,21,2,10,1,0,0,3,1,1,1,0,0,1,1,0,0,0.476,0.478,0.524,1.002,650333
Christian Arroyo,28,267,Maj-AL,Boston,5,14,12,4,6,1,0,1,5,2,0,1,0,0,0,0,0,0,0.5,0.571,0.833,1.405,624414
Jos\xc3\xa9 Azocar,27,270,Maj-NL,San Diego,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,640492
Akil Baddoo,24,269,Maj-AL,Detroit,5,16,15,2,3,0,0,0,0,1,0,6,0,0,0,0,0,0,0.2,0.25,0.2,0.45,668731
Harrison Bader,29,267,Maj-AL,New York,3,11,11,1,2,0,0,1,3,0,0,1,0,0,0,0,0,0,0.182,0.182,0.455,0.636,664056
Ji Hwan Bae,23,267,Maj-NL,Pittsburgh,7,21,19,2,4,0,0,0,0,2,0,1,0,0,0,0,4,1,0.211,0.286,0.211,0.496,678225
Javier B\xc3\xa1ez,30,267,Maj-AL,Detroit,7,30,27,7,9,1,0,3,7,1,0,5,2,0,0,2,0,0,0.333,0.4,0.704,1.104,595879
Rylan Bannon,27,272,Maj-AL,Houston,1,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,676625
Austin Barnes,33,269,Maj-NL,Los Angeles,3,9,7,0,1,0,0,0,2,2,0,2,0,0,0,0,0,1,0.143,0.333,0.143,0.476,605131
Tucker Barnhart,32,269,Maj-NL,Chicago,4,11,10,0,1,1,0,0,0,1,0,3,0,0,0,1,0,0,0.1,0.182,0.2,0.382,571466
Jos\xc3\xa9 Barrero,25,269,Maj-NL,Cincinnati,4,12,12,0,2,0,0,0,0,0,0,5,0,0,0,1,1,0,0.167,0.167,0.167,0.333,676480
Joey Bart,26,267,Maj-NL,San Francisco,4,15,14,1,3,1,0,0,1,1,0,4,0,0,0,0,0,0,0.214,0.267,0.286,0.552,663698
Brett Baty,23,267,Maj-NL,New York,5,19,17,3,5,2,0,1,1,2,0,2,0,0,0,1,0,0,0.294,0.368,0.588,0.957,683146
Jake Bauers,27,267,Maj-AL,New York,3,7,6,1,1,0,0,1,1,1,0,2,0,0,0,0,0,0,0.167,0.286,0.667,0.952,641343
Josh Bell,30,267,Maj-AL,Cleveland,6,24,19,1,3,0,0,1,2,5,0,2,0,0,0,0,0,0,0.158,0.333,0.316,0.649,605137
Cody Bellinger,27,267,Maj-NL,Chicago,7,30,27,6,8,2,0,2,3,2,0,10,0,0,1,0,2,0,0.296,0.333,0.593,0.926,641355
Brandon Belt,35,268,Maj-AL,Toronto,3,8,8,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0.125,0.125,0.125,0.25,474832
Andrew Benintendi,28,267,Maj-AL,Chicago,5,19,17,2,3,0,0,0,1,2,2,2,0,0,0,1,0,0,0.177,0.263,0.177,0.44,643217
Jon Berti,33,267,Maj-NL,Miami,5,20,17,4,8,0,0,0,0,3,0,2,0,0,0,0,1,1,0.471,0.55,0.471,1.021,542932
Christian Bethancourt,31,268,Maj-AL,Tampa Bay,3,12,11,1,1,0,0,1,2,0,0,5,0,0,1,1,0,0,0.091,0.083,0.364,0.447,542194
Mookie Betts,30,267,Maj-NL,Los Angeles,6,27,23,4,9,2,0,1,7,4,0,5,0,0,0,0,0,0,0.391,0.482,0.609,1.09,605141
Bo Bichette,25,267,Maj-AL,Toronto,7,32,30,7,10,2,0,2,7,2,0,8,0,0,0,0,1,0,0.333,0.375,0.6,0.975,666182
Cavan Biggio,28,268,Maj-AL,Toronto,3,9,9,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0.111,0.111,0.222,0.333,624415
